媳婦載婆婆就醫返家疑恍神猛撞橋墩車毀2  媳婦要被噹爆了
佳德鳳梨酥被中國討配方鄭麗文批三立製造仇中言論  詐騙島不分你我
國小肄業男假扮股市大戶銀行見台積電  詐貸騙銀行的錢
女廁會貼什麼標語  現在一堆什麼生理男心理女的跑去女廁，嘔
財政部電子發票整合平台APP現在能進得去  可以
南市府前副發言人爆性騷慣犯轉進美女  美女議員????嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔
台南慶記之都夜轟民宅10多槍搶手投  還以為是慶記台南分店？原來總店都搬到台
被控性騷擾總統府資政顏志發打破沉默聲  被指控就只能吃下去
鴨腿飯這樣150合理  120頂天
不買核燃料棒中共攻台有得發電嗎  我台不買還退哩，沒在怕。
大葉的奶子超大  __大葉成大業
200塊一餐是不是快了  不是已經200一餐了？
realforce被轉賣廚買走了怎麼辦  改買RGB版
跟兄弟姊妹感情好嗎0_0  魯姐你跟魯肥好ㄇ
我XX我驕傲這句垃圾話誰發明的  我4%我驕傲
陳菊率15監委巡查國安局關注中國介入台  都自己人是要巡查什麼
新加坡保障本勞能力低還能拿到高薪  所以沒本事出新加坡工作的都廢柴啊只能
揍敵客家的三毛是黑暗大陸的東西嗎  黑暗大陸的老鼠吧
牙齦萎縮的療程是什麼  牙齦萎縮是不能逆，只能抑制
大家很趕下班嗎  樓下嫌五樓太慢嗎？
帶寵物進一般用餐地點的心態  能帶寵物進的餐廳都不會去
樂天女孩有在跳舞嗎  有在抖奶
欸欸你各位怎麼看學徒制  一堆付學費上課的欸
人面魚找黑人演算政治正確嗎  人面魚找人面魚演，很合理
讓性騷擾嫌疑人當性平委員是什麼心態  讓殺人犯當司改委員的心態是?
如何增加鄰居的道德感  萬金買鄰你花多少錢買的房
塑膠袋生產抽稅一個二十元會發生什麼事  那不如抽一個塑膠袋1000萬試試...
為什麼單人房比雙人房貴啊  你沒發現雙人房就是單人房兩倍嗎，單純就
雨神走錯路昨暴雨高雄用水仍吃緊陳  與神走錯路宅男差錯洞好詩好詩
只要你懂海海就會幫助你最強的點餐方法  沒有內線點的都是盤子啦
叫比自己年紀還小的人大哥是什麼感覺  叫比自己年紀還小的親戚叫叔公那樣
OzoneUNUS開原子少年同學會5團齊聚  誰?
怎麼分辨是真性騷還是越想越不對勁  不負責就是性侵，負責就是合意
台語的坐牢怎麼這麼多種講法  抓去關跟扛去種拖去埋的用法類似
柯文哲訪日演講優先在文化經濟與  看到柯訪美又訪日.一定很多崩潰仔~
為何台灣科技業如黑人採棉花  黑人有鬆餅炸雞我們有雞排珍奶
爺孫戀懷孕484解釋為何男人只愛嫩妹  男人是專情的
高雄年收60萬小資族購屋占比居冠達36  年收60萬算是小資族，那40萬的算什麼
李毅稱打台灣死14億人小菜一碟網友你  死我們總人口5倍覺得小菜一碟他媽
黃偉哲愛將涉性騷轉任綠議員助理他今請辭不為自己開  不對阿，國民黨不是說加害者才要負責
客人吃剩的給下一個客人吃會被發現嗎  收給下一位客人
我侄子證明12了  等我一下=等我一分鐘
台北薪水只多高雄11萬房價卻多貴3倍  不管是薪水還是房價
彰化人算南部要吃南部粽  送肉粽的那個肉粽算南部粽還北部粽?
出生在現在的台灣那會有多幸運  有健保還可以，不過生在福利好的歐洲國家
覺青片跟深度片怎麼區分  與惡就是覺青a片
台灣松屋品項好少  台灣貴又難吃品項又少
太爽了自組電腦找到便宜硬碟了  還好我買了fireball了
互揭瘡疤是一種膽小鬼博弈嗎  什麼互揭瘡疤，明明有一個臉是整張
商周為何越來越多人討厭QRcode點餐  最討厭掃qrcode點餐卻要加line好友
為何人類剛出生的幼崽這麼醜  其他哺乳類動物剛出生也是皺皺的吧
為什麼北半球夏至不是一年中最熱的  中午太陽最大也不是最熱啊==
現在正常人打開一本紙本書可以讀幾頁  我認識一位籃球員，他一頁可以看一整天
以後麵店煮麵區會全部改到內部廚房嗎  內場會有勞贖當主廚
新加坡小孩長大後不會迷華語娛樂圈了  話說新加坡小孩長大大都蠻慘的就是…
什麼樣的情形女生會對男生性騷  看資產
五月天上thefirsttake會唱啥  拿著吉他的5566最好會上t1t沒現場能力
女生要求有內涵是什麼意思  內涵就是很會裝b很會吹
原來杜懷霍華離開台灣了  跑了
男性也被跟蹤可疑女沿路尾隨30分鐘  男的被女的跟要嘛女鬼要嘛會拿出刀…怕
抓到了天母百貨公司驚現變態男涉強拉5  天母一定是老外
台GG幹嘛把自己搞成地獄模式  GM說你不玩地獄模式，就ban你號你敢不
鴨腿飯這樣150合理  如果是三寶鴨腿飯150還差不多
台灣是全世界最熱最臭的地方嗎  樓下肛門肆最臭，最噁心ㄉ地方ㄇ
太閣立志傳什麼時候出六代啊  借問大航海時代單機什麼時候出新版
企鵝妹快路過我家了要送什麼禮物  我覺得鞋墊不錯雖然快走完了另外三星
粽子真的料多就比較好吃嗎  花生瘦肉香菇就可以弄很好吃了
天安門母親六四祭文記憶不滅抗爭不懈  記憶消失也不用抗爭了
男生被性騷擾的當下在想什麼  樓下被性騷擾時，在想什麼
跟習近平吃飯是什麼感覺  你吃到一半的時候會跟你說其實你那一份有
認真問豬排蓋飯吃濕的還是吃乾的  吃濕的，乾的外面那層麵衣會刮嘴巴，吃完嘴
零食娃娃機的東西都怎樣  五樓都玩真人夾娃娃機
有沒有同志驕傲月的八卦  哪個月不為自己驕傲了？
友邦史瓦帝尼王國副總理訪台蔡總統明接  再送他一台直升機XD
29歲女友懷孕83歲男星不信小孩是他的  生那麼多
我犯了全天下男人都會犯的錯是真理  NO，是全天下男人都想犯的錯
為什麼神父偏愛小男孩小女孩丫  小男孩比小女孩還緊阿
企鵝妹是因為南部太暖所以逃回北部嗎  日本韓國女去南部住基本上都是找死太
勢利眼的人發現自己其實不強時會怎麼樣呢  把人鬥走...再欺負剛來還搞不清楚狀況的
居然無法走路進入桃園國際機場  能走路去的國際機場不多吧，那種小型只
寶島季最後一集歸來是什麼意思  談感覺台灣國內沒什麼討論的聲音針對他們
1989中國北京竟然比台灣先進有左轉專用  是多不會開車?每條路都要給你專用道是嗎?
該公佈牛肉麵店工讀生姓名長相  真該告下去
有人吃全家飯糰吃到硬塊過嗎  骨頭不是這個顏色，用火燒燒有沒有塑膠味
爺孫戀該用什麼體位才能順利播種  什麼體位都試試啊==
小代484人生勝利組  人生勝利組需要像他一樣辛苦打拼嗎
男子眼睛長菜花疑三溫暖或公廁座墊傳染  五樓用舌頭幫你檢查
美國人連台積電工作都嫌那他們都做什麼  他們都作讓台積電有工作的工作
shakeshack是不是過譽了  第一口是很好吃但吃到尾段很膩口...
萬年考生被瞧不起如何起身反駁  被看不起正常自己認了
一堆男的褲襠這麼凸出是不是性騷擾  某族群的泳褲是透明的
暗黑不是66才上市嗎  是全球時間不同步上市嗎
GG是怎麼辦到的  GG裏頭的工作有8成是國中畢業就能勝任的
你是老闆要如何避免招到爛咖員工  人也是你找來的不是嗎？
布查重建好了還能靠戰爭打房嗎  還有俄羅斯佔領的馬里烏波爾也蓋好了
超噁獨門配方抹布水煮麵受害者發聲吃  文組法官：請證明是因為吃牛肉麵才拉的
屁股ㄘ布o_o  五樓屁股只吃懶叫
軟Q大腿vs緊緻大腿大家喜歡哪個  當然是G軟大腿啊嘻嘻
佳德鳳梨酥被中國討配方鄭麗文批三立製造仇中言論  加酒精的雪碧
快訊中正大學副教授性騷拆泳衣綁帶  你也說啦中正在嘉義欸
台灣是性騷之島嗎  埔心男之島
賴清德自稱想與習近平共進晚餐柯文哲  柯文哲論述能力真的是吊打另兩大導
律師林智群稱高虹安60萬交保小菜一碟網  高虹安都贏那麼多了，綠師就放他嘴一下
現在台股是在抓交替的節奏嗎的卦  疫情期間抱現金的現在哭著喊現金不值
綠營遛鳥俠羅紹齊在南市府工作黃偉  用人唯才在那叫什麼!!!
林襄球場遭前職棒球星壁咚被攝她嚇  我相信方昶詠壁咚林襄一定有他的理
跟學長一起吃越南小吃  接著去越南按摩
台男是不是很多小秘密  母胎單身20年算小秘密嗎
台男性騷擾是因為沒有請戀愛家教嗎  迪奧的曠野之心
奧特曼為毛要幫地球打怪獸  都商量好的要演戲
駭客任務母體發電用全雄性比較好的掛  抽蓄發電嗎？
偏鄉銀髮族交通工具  台灣沒有人在規劃交通，所謂的的交通規劃
男子眼睛長菜花疑三溫暖或公廁座墊傳染  蓮蓬頭沖臉?感覺某人的屁眼對著你
這波女權要鬧到什麼時候  這波1450被打趴了，賴神，中共同桌人
為什麼這社會一直有人在利用別人的善良  樓下為什麼是智障
蘇巧慧曝時間軸怒批新北兒童被餵藥侯  蘇巧慧就肖想新北市長大位多年啊。我就
親親抱抱不是國際禮節嗎  做愛是國際語言
有沒有很強的逐字稿錄音筆  等AI更強大
瑞典傳奇球星伊布宣布引退感謝足球  怎麼分辨是男的伊布還是女的伊布.JPG
做工地整天管飽的生活如何  所以一天花多少錢
中學是人生最奴階段嗎  績最好的分在一起，抓最後一個，也就是
大腳阿公的腳有多大  不如吃旁邊的阿財
國小肄業男假扮股市大戶銀行見台積電  國小能肄業哦！不是義務教育嗎
iphone14plus256G  筆電3萬算低階的吧
佳德鳳梨酥被中國討配方鄭麗文批三立製造仇中言論  說是中共故意斷貿易說是中共要討配方
德國人為啥可以接受希特勒這個外國人當他  台灣也接受念中國書長大的中國人當總統
台灣飲食衛生落後日本多久  所以你有拍照或錄影當證據ㄇ
不是說台北有在淨空騎樓嗎  北投算偏遠地區了吧台北市區感覺有在淨空
黃仁勳會講北京話跟台語嗎  會講,但他會認為你應該跟他講英文才是
快訊中正大學副教授性騷拆泳衣綁帶  2021年要預知到2022年謝XX性騷、2023
2008年三百萬是不是可以買中永和三房公寓  今年開1200看看房東會說多少~嘻
這麼多女生都收過屌照  還有人會用airdrop亂丟屌照
網友坐等提告結果  自己不去法院告現在才在米兔
為什麼陳平偉當初會爆紅  還會用
南韓美女實況主來台騎單車遭性騷色男尾  取蜜再來就是東發漏米
免服兵役認定趨嚴身高須低於155BMI  依當年當兵經驗這些155或BMI汰除的可
獨創校百年成功高中首位女畢業生是  能加25趴早就分數爆表能讀台中一中
公務人員退休給付沒同步調國民黨團質  退休是要調三小哦
台灣道貌岸然的人渣多嗎  其實不多，多的是演都不演的人渣
重啟核電蔡英文中共攻台下非常極端  中共攻台才重啟，豈不更危險？等人來炸？
台灣何時如此道德淪喪  都是國民黨敗壞台灣民眾ㄉ風氣
中學是人生最奴階段嗎  不是，是亞洲人是最奴的區域
佳德鳳梨酥被中國討配方鄭麗文批三立製造仇中言論挨  法院認證三立製造仇中言論
竹北也太扯了吧  這奶茶也太頂了吧
拉肥宅吊嘎的肩帶算性騷擾嗎  看肥宅會不會提告
快訊中正大學副教授性騷拆泳衣綁帶  忙要柯文哲負責，不是應該先找中正大學
遭控性騷女學生中正大學副教授曾任台  案子是在中正大學欸
為什麼一堆台男要去歐兔徵友  舔狗一堆不ey
性騷擾犯都不會想到假如是自己被性騷擾  性騷擾不知性侵犯倒是有幼時被家庭成員性侵
法網那個球僮是玻璃做的嗎  我記得還有另一個在紅土的也是打到球僮
板上有鄉民修過會性騷擾的教授的課嗎  哪間學校的時候
台灣牛奶牛肉隨便吃能人均180cm嗎  基因不行,吃啥也不行,老鼠吃再肥,能長成大象?
快訊中正大學副教授性騷拆泳衣綁帶  其他性騷頻繁頂多只能說可能是長期吃
田中蕎麥麵店好吃嗎  沒有抹布水的可是不好吃的喔
台積電企業文化太嚴苛激怒美員工外  名單公布之前公司會極力爭取綠卡
男子眼睛長菜花疑三溫暖或公廁座墊傳染  五樓三隻眼都長菜花和猴痘
說到用女權包裝濫交的噁男群體你會想到  犯雲苗勃啞
現在metoo軍中學長來得及嗎  滾去甲板
發現工讀生比自己有格局怎麼辦  我以前進修的博士老師，創業七次
去麥當勞或美食街要自己收盤子嗎  樓下你被甲甲肛要戴套套ㄇ
日本便利商店幾乎沒在用現金了台灣  用電子支付是假鈔太多落後的象徵我們不屑
這樣我不是性騷擾犯吧  有人靠近我我都自動狂閃
拉肥宅吊嘎的肩帶算性騷擾嗎  老
甲甲可以從外表分辨嗎  問要肛嗎？
澎湖縣長獎送畢業生中國製小學生背包  日本小學生書包不是達欣出的
快訊中正大學副教授性騷拆泳衣綁帶  這咖不是小英捧出來的嗎?
快訊中正大學副教授性騷拆泳衣綁帶  中正的學生和教授怎麼不是中正大學負責
商周為何越來越多人討厭QRcode點  商家直接省掉購買平板成本
台灣還有沒性騷擾過的台男嗎  台灣還有沒有誣告性騷擾的台女嗎？
性騷職場霸凌連環爆北市議員趙怡翔  確實阿，性騷大家都有，但吃案黨特別多
中共軍艦台海橫切美艦美防長批不負責任  ？不擊沉一艘來試試紅線
抹布水牛肉麵店家也是受害者吧  也不需要去追殺員工啦店家教育訓練有問題
賴清德稱想跟習近平共進晚餐柯文哲中共同飯人  賴清德要去跟習近平跪求共產指導方針
快訊中正大學副教授性騷拆泳衣綁帶  主管單位是中正大學欸
中正大學metoo1  那包？
包莖也可以metoo了吧  樓下包莖
認真問台積電這幾年大爆發政府有幫忙嗎  台積電用電量快全台灣10%，台積電
驚餐飲業沒年輕人了  餐飲業那麼苦誰會去做啦
有關孩子的暴力問題  看電視是啥社交辣
快訊新北微風運河驚見浮屍死者身分  暖市台中台北全都有不是嗎？
2008年三百萬是不是可以買中永和三房公寓  不太可能，又不是1988
快訊中正大學副教授性騷拆泳衣綁帶  明天早上八點，9樓找Amy報到
越南妹很喜歡坐在街邊納涼  衣服很好看白白的
抹布水其實是乾淨的吧  性侵也是乾淨的，屌都有洗乾淨
吃牛肉麵可以選拉麵也算是一種拉麵嗎  都用豬排捏壽司了…
喝原萃套水很客家嗎  不會但如果你喝茶裡王套水就很客家了
日本人為什麼台灣人違規不會不好意思  台灣大部分違規的人都覺得自己沒有問題
男森什麼情況算是被性騷擾  被別人摸胸肌或屁股吧
為什麼家裡開小吃店還要去其他店買東西  家裡有房地產就不去住旅館嗎
愛繆的歌哪一首最好聽  金盞花太神後面的歌也都很好聽但無
快訊中正大學副教授性騷拆泳衣綁帶  大學研究生中正大學教授之間的糾紛
台南又有槍擊案歸仁民宅大門遭轟10多  又又又
陳建仁打造電子設備成下一個兆元產業  高端聖騎士又要敗掉稅金打造兆元產業,會成？
抹布水vs自己的口水都幾  拼命護航喔
板上有鄉民修過會性騷擾的教授的課嗎  像我長這麼醜的沒有被騷擾的問題
晚餐這樣ok嗎  不ok沒有可樂
商周為何越來越多人討厭QRcode點  直接跟服務生說不會用他就點了
被AI殺死也不錯吧  人類跟AI又沒競爭關係哪會被殺==
來組一個黃山料讀書會怎麼樣  看過一個被甩的女沒事就在分享黃山料
為什麼台灣一堆中老年男人喜歡性騷擾女生  也有喜歡小男森的
抽菸的人是否都偏自私型  上八卦的人是否都偏自私型？
這是騎公務車犯案嗎  公務車不能騎嗎
美國男闖商店亮槍搶劫得逞警方逮人搜出  cos悟空？
為啥黑道的正妹女友願意在一起  認識的人裡面提到她的一個女森朋友的
有沒有可能抹布是料理神具  昆布可以煮湯抹布也是一樣的阿
澎湖縣長獎送畢業生中國製小學生背包  重點是送國高中生小學生背包而不是在中國製
曠課太多沒辦法畢業怎麼嗆教授  你自己曠課要大家教你嗆教授？
兩分吃蛋糕旅美是什麼  供三小
有沒有警察都不管改裝車的八卦蛤  何止改裝車，連拼裝車沒車牌車警察也不
百靈果凱莉逆風挺蔡阿嘎認為是國家  這行為在哪個國家都是問題剛好挺日比較多
俄軍發生軍閥互相攻擊了  內戰開始很久了FRL跟RDK都打進去了
為啥黑道的正妹女友願意在一起  反正，有惹生惹被拋棄惹，再ㄑ新竹就豪喇
高雄玩命娃娃車逆向闖紅燈他嚇  闖紅燈是高雄人的DNA
有關孩子的暴力問題  這麼皮，先抓去結紮
ptt留言都是買的  https://i.imgur.com/yJvVzYI.jpg
為何台灣沒企業買下外國汽車公司  你說說台灣哪個公司多有錢汽車公司多少
為何中國拉麵能在日本打敗原生種烏龍麵  拉麵烏龍麵蕎麥麵...看地區
澎湖縣長獎送畢業生中國製小學生背包  重點在高中送小學生背包，還有人在中國製
日本便利商店幾乎沒在用現金了台灣  珍惜什麼？信用卡成本都被包含在商品成
2000年左右怎麼一堆經典戰爭片  怎麼沒有最經典二戰影集諾曼第大空降
畢業名曲今年夏天的八卦  我肥的理直氣壯當年聽到這首真的會哭
imB詐騙案新竹營運處長陳振中抗告遭駁  好爽喔
小型核電廠列淨零科技選項國科會這麼說  沒說發展，只說要關注。也提到核廢料處
法甲周六凌晨3點最後一戰巴黎聖日  羨慕
何志偉遭控摸男手臂留電話賴清德出聲  王世堅：我我以為是何志偉
抹布水麵and大姆指插入麵裡都幾  惡意聯想大可不必
今天如果不是抹布而是蕾絲原味小褲褲  那種東西就是要原味的的泡水就沒用
女兒考上這科系母嫌畢業薪資比教師差  這老母太廢了妳可以等女兒畢業出錢開
今天跟女同事出差的八卦在線等  你才不懂穿女同事知道客戶就愛這味
有沒有蔥神最近很安靜的八卦  哪有很安靜他在全力打擊你黨的im.B案啊
哥布林是女性生的為啥不尊重女性  你也是你媽生的有尊重台女ㄇ
企鵝妹賺夠了環島結束了嗎  賺到醉了
有人一天只吃一兩餐的嗎  我不吃早餐忙的時候會再少一餐
女同事穿太露我覺得不舒服怎麼辦  穿的比他露讓她不舒服
苗栗牛肉麵店恐怖氣爆57歲業者全身80  做吃的真的要超注意瓦斯
